Film,Director,urlmubi,Urlverification
Deseos,Flavio Florencio,https://mubi.com/es/films/desires,0
FemDom Dominación femenina,Christian González,,
Un mundo raro Canciones de José Alfredo Jiménez,Iván López-Barba  Rubén R. Bañuelos,,
México bárbaro II,Abraham Sánchez  Carlos Meléndez  Christian Cueva  Diego Cohen  Fernando Urdapilleta  Lex Ortega  Michelle Garza  Ricardo Farías  Sergio Tello,https://mubi.com/es/films/mexico-barbaro-ii,1
Cinderello,Beto Gómez,https://mubi.com/es/films/cinderella-2021,0
Un año de miradas al azar,Roberto Sánchez Santos,https://mubi.com/es/films/the-racer-and-the-jailbird/ratings,1
El brujo de Apizaco,Rodrigo Lebrija,,
Memorias de lo que nunca fue,Leopoldo Laborde,https://mubi.com/es/films/boy-undone,1
El ombligo de Guie ́dani,Xavi Sala,https://mubi.com/es/films/guie-dani-s-navel,1
Lejos del sentido,Olivia Luengas,https://mubi.com/es/films/away-from-meaning,1
La era de la desconexión,Cristóbal González,https://mubi.com/es/films/disconnect-2012,0
La tercera raíz Buscando el origen del son jarocho,Allen Reed Rickert  Camilo Nu,,
Mes nuits feront écho (Mis noches harán eco),Sophie Goyette,https://mubi.com/es/films/mes-nuits-feront-echo,1
La metamorfosis de Magdalena,Jorge Juvenal Arreola,,
Cine lotería,Eduardo Luis Argüelles,https://mubi.com/es/cast/charles-neilson-terry,0
El pez (Le poisson),Martin Verdet,https://mubi.com/es/films/the-smoking-fish,0
MetaFilm,Jesús Rodríguez Chiva,https://mubi.com/es/lists/metacinema,0
Mirreyes contra Godínez,Chava Cartas,https://mubi.com/es/films/mirreyes-contra-godinez,1
Réplica,Oliver Victoria  Axel M. Espino  Carlos Reygadas  Everardo González  Santiago Arriaga  Vanessa Vidal  Jacaranda Correa  Santiago Fábregas,https://mubi.com/es/films/replica,0
Nunca lo tuvieron Una velada con Bukowski,Mateo Borgardt,https://mubi.com/es/cast/charles-bukowski,0
El Chapulín Colorado 3D,Roberto Gómez Fernández,https://mubi.com/es/films/el-chapulin-colorado,0
Silencio,Lorena Villarreal,https://mubi.com/es/films/silence-2015,0
