Film,Director,mubi_rating
Piérdete entre los muertos, Rubén Gutiérrez,['4.8']
ONI,"Christine Minnick, Laura Trejo,Mercedes Aldao",
M-1, Luciano Pérez Savoy,[]
Alejandra o la inocencia de Vlady,Fabiana Medina,
No se mata la verdad, Coizta Grecko B.,
Perfectos desconocidos,Manolo Caro,
Cuatro Ciénegas, David Jaramillo,
Chivas. La película,"Iván López-Barba,Rubén R. Bañuelos",
Espejos de piedra," ""Ana Mary Ramos y Juan Barreda""",
Titixe,Tania Hernández Velasco,['8.0']
Marc Monster & The Olives In Situ, Osiris Luciano,
Identidad puma,Pavel Inuit Arévalo,
Antígona, Pedro González-Rubio,['6.0']
Patrimonio,"Lisa F. Jackson, Sarah Teale",[]
M, Eva Villaseñor,
El pueblo soy yo. Venezuela en populismo,Carlos Oteyza,[]
Lo mejor que puedes hacer con tu vida (The Best Thing You Can Do With Your Life),Zita Erffa,['6.2']
Cigüeñas,Heriberto Acosta,
Tiempo de lluvia, Itandehui Jansen,[]
Desde tu infierno,Alexis Pérez Montero,[]
Adam, Maria Solrun,
La Revolución y los artistas,Gabriel Retes,
Balón al aire, Gabriel Mariño,
Calypso. Los niños del éxodo,Wilma Gómez Luengo,
Canciones de amor y desprecio,Ana Bárcenas Torres,
La vida suspendida de Harley Prosper, Juan Manuel Sepúlveda,['6.0']
Torre x torre (Torre),"Roberto Garza, Juan Luis Obregón",[]
Enrique González Pedrero, Emilio Cárdenas Elorduy,
La daga en el corazón(Un couteau dans le coeur),Yann González,['7.6']
¿Dónde estás?,Maricarmen Merino,
La visita,Ana Mancera,
Más sabe el diablo por viejo (Problemas mayores),Pepe Bojórquez,
Solteras,Luis Javier M. Henaine,['5.2']
Tramposos con suerte (Impostores), Joel Núñez,
Lo único que tengo,Diego L. Pedroza,
Locura al aire," ""Alicia Cano y Leticia Cuba""",[]
Las reglas del rey, Luis Romo ,
Nosotros las piedras, Álvaro Torres,[]
El velorio (The Wake), Gustavo Arteaga,
Hipnosis para ser feliz,Víctor Audiffred,[]
Belmonte, Federico Veiroj,['6.2']
La muerte de un fotógrafo de modas,Gabriel Reyes,[]
Acusada (Dolores), Gonzalo Tobal,['5.4']
Antes de que nos entierren a todos,Miguel Estrada,
Leona (Carne y leche), Isaac Cherem,[]
Water Lola,Miguel G. Catalán,
Cofradía, Emilio Ramón Vidal,
El suicidio,Pedro Pablo de Antuñano Padilla,
El año de la plaga, Carlos Martín Ferrera,[]
1985. Héroes entre ruinas,Jeanette Russ Moreno,
Land, Babak Jalali,
Me río. Colima,Iván Maracho Salcedo,
Mi mariachi, Jorge Adrián Espíndola,
