N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-05767,NAPOLEONCITO,MEX,GILBERTO MARTÍNEZ SOLARES,1963,
A-05768,LA TIERNA INFANCIA,MEX,FELIPE PALOMINO,1965,
A-05769,EL MUNDO LOCO DE LOS JÓVENES,MEX,JOSÉ MARÍA FERNÁNDEZ UNSAÍN,1966,
A-05770,CANTAR DE LOS CANTARES,MEX,MANUEL ALTOLAGUIRRE,1959,
A-05771,NOCHES PROHIBIDAS,MEX,JOSÉ DÍAZ MORALES,1966,
A-05772,VOY A EXPLOTAR,MEX,GERARDO NARANJO,2008,
A-05773,VICTORIO,MEX,ALEX NOPPEL,2008,
A-05774,ARRÁNCAME LA VIDA,MEX - ESP,ROBERTO SNEIDER,2008,
A-05775,EL CIRUELO,MEX,CARLOS ROSSINI / EMILIANO ALTUNA,2008,
A-05776,NORTEADO,MEX - ESP,RIGOBERTO PEREZCANO,2008,
A-05777,VERITAS. EL PRÍNCIPE DE LA VERDAD,MEX-EUA,ARTURO RUIZ ESPARZA,2006,
A-05778,"NAVIDAD, S.A.",MEX,FERNANDO ROVZAR,2008,
A-05779,"TIMBIRICHE, LA MISMA PIEDRA",MEX,CARLOS MARCOVICH,2008,
A-05780,LOS APUROS DE MI AHIJADA,MEX,FERNANDO MÉNDEZ,1950,
A-05781,"DE TEQUILA, SU MEZCAL…",MEX,CARLOS TOUSSAINT,1949,
A-05782,¡AY AMOR… CÓMO ME HAS PUESTO!,MEX,GILBERTO MARTÍNEZ SOLARES,1950,
A-05783,CURVAS PELIGROSAS,MEX,TITO DAVISON,1950,
A-05784,EL GATO SIN BOTAS,MEX,FERNANDO CORTÉS,1956,
A-05785,LA ISLA DE LAS MUJERES,MEX,RAFAEL BALEDÓN,1952,
A-05786,LA JUSTICIA DEL LOBO,MEX,VICENTE ORONÁ,1951,
A-05787,MUJERES QUE TRABAJAN,MEX,JULIO BRACHO,1952,
A-05788,HASTA EL FINAL,MEX,RUBÉN MONTIEL MENDOZA,2008,
A-05789,VENADO,MEX,PABLO FULGUEIRA,2008,
A-05790,DESBOCADOS,MEX,RENÉ CARDONA III,2008,
A-05791,PRISIONERA DEL RECUERDO,MEX,EDUARDO UGARTE,1952,
A-05792,POR QUERER A UNA MUJER,MEX,ERNESTO CORTÁZAR,1951,
A-05793,POR EL MISMO CAMINO,MEX,ALEJANDRO GALINDO,1952,
A-05794,POMPEYO EL CONQUISTADOR,MEX,RENÉ CARDONA,1951,
A-05795,POKER DE ASES,MEX,RENÉ CARDONA,1952,
A-05796,PACO EL ELEGANTE,MEX,ADOLFO FERNÁNDEZ BUSTAMANTE,1951,
A-05797,EL RUISEÑOR,MEX,JAIME SALVADOR,1951,
A-05798,SÓLO QUIERO CAMINAR,MEX-ESP,AGUSTÍN DÍAZ YANES ,2008,
A-05799,RUDO Y CURSI,MEX-EUA,CARLOS CUARÓN,2008,
A-05800,VOLVERTE A VER,MEX,GUSTAVO GARZÓN,2008,
A-05801,(SNUU VIKO) EL LUGAR DE LAS NUBES Y ALGUNAS PALABRAS PERDIDAS,MEX,NICOLÁS ROJAS SÁNCHEZ,2008,
A-05802,LA VIDA LOCA,MEX-FRA-ESP,CHRISTIAN POVEDA,2008,
A-05803,BABEL,MEX-EUA,ALEJANDRO GONZÁLEZ IÑÁRRITU,2006,
A-05804,24 CUADROS DE TERROR,MEX,CHRISTIAN GONZÁLEZ,2008,
A-05805,CLANDESTINO,MEX,JUAN PABLO ARROYO ABRAHAM,2008,
A-05806,"RABIOSO SOL, RABIOSO CIELO",MEX,JULIÁN HERNÁNDEZ,2008,
A-05807,CORAZÓN DEL TIEMPO,MEX-ESP,ALBERTO CORTÉS,2008,
A-05808,EL GENERAL,MEX-EUA,NATALIA ALMADA,2008,
A-05809,LA SIRENA Y EL BUZO,MEX-ESP,MERCEDES MONCADA RODRÍGUEZ,2006-2009,
A-05810,NESIO,MEX,ALAN COTON,2008,
A-05811,"MORENITA, EL ESCÁNDALO",MEX,ALAN JONSSON GAVICA,2008,
A-05812,LOS CAMPEONES DE LA LUCHA LIBRE,MEX-EUA,EDDIE MORT,2008,
A-05813,LOS RESTOS DEL NAUFRAGIO,MEX-ESP-FRA,RICARDO FRANCO,1978,
A-05814,NUESTRA LUCHA,MEX,JAIME ROGEL ROMÁN,2008,
A-05815,REFORMA 18,MEX,NÉSTOR SAMPIERI,2008,
A-05816,EL AGENTE 00-P2,MEX,ANDRÉS COUTURIER,2006-2008,
A-05817,"BACKYARD, EL TRASPATIO",MEX,CARLOS CARRERA,2008,
A-05818,SIN NOMBRE,MEX-EUA,CARY JOJI FUKUNAGA,2008,
A-05819,QUÉ NECIOS,MEX,ADRIÁN PARISI / MIGUEL MUSÁLEM,2008,
A-05820,LOS MEJORES SENTIMIENTOS,MEX-ITA,MARCOS VILLASEÑOR,2008,
A-05821,EL ÁRBOL OLVIDADO,MEX,LUIS RINCÓN ,2009,
A-05822,"13 PUEBLOS EN DEFENSA DEL AIRE, EL AGUA Y LA TIERRA",MEX,FRANCESCO TABOADA TABONE,2008,
A-05823,PRESUNTO CULPABLE,MEX-HOL-EUA,ROBERTO HERNÁNDEZ ,2008,
A-05824,12.511 CASO ROSENDO RADILLA PACHECO: UNA HERIDA ABIERTA DE LA GUERRA SUCIA EN MÉXICO,MEX,GABRIEL HERNÁNDEZ TINAJERO / BERENISSE VÁSQUEZ SANSORES,2008,
A-05825,AMAR,MEX,JORGE RAMÍREZ SUÁREZ,2008,
A-05826,EL VIAJE DEL COMETA,MEX,IVONNE FUENTES MENDOZA,2009,
A-05827,EL INFORME TOLEDO,MEX,ALBINO ÁLVAREZ GÓMEZ,2008,
A-05828,¿DÓNDE ESTÁ MACOTELA?,MEX,A. FERNÁNDEZ,2007,
A-05829,CALENTAMIENTO LOCAL,MEX,FERNANDO FRÍAS DE LA PARRA,2008,
A-05830,SE ME HIZO FÁCIL,MEX,PEDRO ZULU GONZÁLEZ,2008,
A-05831,OVEJA NEGRA,MEX,HUMBERTO HINOJOSA OZCARIZ,2009,
A-05832,OTRA PELÍCULA DE HUEVOS Y UN POLLO,MEX,GABRIEL RIVA PALACIO ALATRISTE / RODOLFO RIVA PALACIO ALATRISTE,2009,
A-05833,VIAJE REDONDO,MEX,GERARDO TORT ,2009,
A-05834,AMAR A MORIR,MEX-COL,FERNANDO LEBRIJA,2008,
A-05835,CRÓNICAS CHILANGAS,MEX,CARLOS ENDERLE,2008,
A-05836,ZOÉ 281107,MEX,GABRIEL CRUZ RIVAS / RODRIGO GUARDIOLA ZIEROLD,2008,
A-05837,NACO ES CHIDO,MEX,SERGIO ARAU,2008,
A-05838,UN BRILLANTE PROPÓSITO,MEX,RENÉ CARDONA III,2008,
A-05839,CAJA NEGRA,MEX,ARIEL GORDON,2009,
A-05840,EL QUINTO MANDAMIENTO,MEX,RAFAEL LARA,2009,
A-05841,LIMBO,MEX,HORACIO RIVERA,2008,
A-05842,EL MEMORIAL DEL 68,MEX,NICOLÁS ECHEVARRÍA,2008,
A-05843,DANIEL Y ANA,MEX-ESP,MICHEL FRANCO,2009,
A-05844,EUFORIA,MEX,ALFONSO CORONA BLAKE,2009,
A-05845,CONDONES.COM,MEX,MARIO ABRAHAM MANCILLA,2006-2009,
A-05846,BALA MORDIDA,MEX,DIEGO MUÑOZ VEGA,2009,
A-05847,LA ÚLTIMA Y NOS VAMOS,MEX,EVA LÓPEZ-SÁNCHEZ,2009,
A-05848,7 SOLES,MEX,PEDRO ULTRERAS,2008,
A-05849,AUTONOMÍA ZAPATISTA. OTRO MUNDO ES POSIBLE,MEX,JUAN E. GARCÍA GUTIÉRREZ,2008,
A-05850,AMOR EN FIN,MEX,SALVADOR AGUIRRE,2008,
A-05851,OTRO TIPO DE MÚSICA,MEX,JOSÉ GUTIÉRREZ RAZURA,2008,
A-05852,MAREA DE ARENA,MEX-ARG,GUSTAVO MONTIEL PAGES,2008,
A-05853,EL ÁRBOL   ,MEX-ESP,CARLOS SERRANO AZCONA,2009,
A-05854,JUNTOS,MEX,NICOLÁS PEREDA,2008,
A-05855,CHEVOLUTION,MEX-EUA-GB,TRISHA ZIFF / LUIS LÓPEZ,2008,
A-05856,REHJE,MEX,ANAÍS HUERTA / RAÚL CUESTA,2009,
A-05857,EL MILAGRO DEL PAPA,MEX,JOSÉ LUIS VALLE,2009,
A-05858,EL ÚLTIMO GUION. BUÑUEL EN LA MEMORIA,MEX-ESP-FRA-ALE,GAIZKA URRESTI / JAVIER ESPADA,2008,
A-05859,LA ISLA DE LEÓN,MEX-CR,ROGELIO ORTEGA,2009,
A-05860,"GRISSI SIKNIS, LA ENFERMEDAD MÁGICA DE LA SELVA",MEX-ESP-NIC,ENRIQUE RUIZ-SKIPEY,2008,
A-05861,LA DESCONOCIDA,MEX,CHANO URUETA,1954,
A-05862,LOS AVENTUREROS,MEX,FERNANDO MÉNDEZ,1954,
A-05863,CAÍN Y ABEL,MEX,RENÉ CARDONA,1954,
A-05864,CANTANDO NACE EL AMOR,MEX,MIGUEL M. DELGADO,1953,
A-05865,"¡AY, PENA, PENITA, PENA!",MEX-ESP,MIGUEL MORAYTA,1953,
A-05866,DE RANCHERO A EMPRESARIO,MEX,RENÉ CARDONA,1953,
A-05867,EL GAVILÁN VENGADOR,MEX,JAIME SALVADOR,1954,
A-05868,DIOS NOS MANDA VIVIR,MEX,JOAQUÍN PARDAVÉ,1954,
A-05869,LA INFAME,MEX,MIGUEL ZACARÍAS,1953,
A-05870,LO QUE NO SE PUEDE PERDONAR,MEX,ROBERTO RODRÍGUEZ,1953,
A-05871,MORIR PARA VIVIR,MEX-CUBA,MIGUEL MORAYTA,1954,
A-05872,EL MONSTRUO DE LA MONTAÑA HUECA,MEX-EUA,EDWARD NASSOUR / ISMAEL RODRÍGUEZ,1954,
A-05873,EL MONSTRUO EN LA SOMBRA,MEX-CUBA,ZACARÍAS GÓMEZ URQUIZA,1954,
A-05874,LA MUJER X,MEX,JULIÁN SOLER,1954,
A-05875,LOS ORGULLOSOS,MEX-FRA,YVES ALLÉGRET / RAFAEL E. PORTAS,1953,
A-05876,PECADO MORTAL,MEX,MIGUEL M. DELGADO,1954,
A-05877,PÍNTAME ANGELITOS BLANCOS,MEX,JOSELITO RODRÍGUEZ,1954,
A-05878,PUEBLO QUIETO,MEX,RAMÓN PEÓN,1954,
A-05879,ROSALBA,MEX,HUMBERTO GÓMEZ LANDERO,1954,
A-05880,ALARMA!,MEX-EUA,BERNARDO LOYOLA / SANTIAGO STELLY,2008,
A-05881,AL CANTO DEL BAJÍO,MEX,FERNANDO COLÍN ,2008,
A-05882,FRAY JUSTICIA,MEX,RENÉ CARDONA III,2009,
A-05883,EL ESTUDIANTE,MEX,ROBERTO GIRAULT,2008,
A-05884,RECIÉN CAZADO,MEX,RENÉ BUENO,2007,
A-05885,CABEZA DE BUDA,MEX,SALVADOR GARCINI,2008,
A-05886,TODOS HEMOS PECADO,MEX,ALEJANDRO RAMÍREZ  ,2009,
A-05887,CLETARAXIA,MEX,DIEGO DE LA MATTAZ,2009,
A-05888,LA NANA,MEX-CHILE ,SEBASTIÁN SILVA,2008,
A-05889,EL SECRETO DE PANCHO VILLA,MEX,RAFAEL BALEDÓN,1954,
A-05890,EL TESORO DE PANCHO VILLA,MEX,RAFAEL BALEDÓN,1954,
A-05891,SEÑORA AMA,MEX-ESP,JULIO BRACHO,1954,
A-05892,LA SOMBRA VENGADORA CONTRA LA MANO NEGRA,MEX,RAFAEL BALEDÓN,1954,
A-05893,TU RECUERDO Y YO,MEX,MIGUEL M. DELGADO,1953,
A-05894,Y MAÑANA SERÁN MUJERES,MEX,ALEJANDRO GALINDO,1954,
A-05895,YO FUI NOVIO DE ROSITA ALVÍREZ,MEX,ZACARÍAS GÓMEZ URQUIZA,1954,
A-05896,ZANDUNGA PARA TRES,MEX,ROBERTO RODRÍGUEZ,1953,
A-05897,CARITA DE CIELO,MEX,JOSÉ DÍAZ MORALES,1946,
A-05898,EL SECRETO DE JUAN PALOMO,MEX,MIGUEL MORAYTA,1946,
A-05899,EL PRÍNCIPE DEL DESIERTO,MEX,FERNANDO A. RIVERO,1946,
A-05900,BAJO AMENAZA,MEX,CHRISTIAN GÓNZALEZ,2009,
A-05901,PARADAS CONTÍNUAS,MEX,GUSTAVO LOZA,2009,
A-05902,SECRETOS DE FAMILIA,MEX,FRANCISCO DEL TORO,2009,
A-05903,CHAMACO,MEX-EUA,MIGUEL NECOECHEA,2008,
A-05904,ALAMAR,MEX,PEDRO GONZÁLEZ-RUBIO,2009,
A-05905,TÍA CANDELA,MEX,JULIÁN SOLER,1948,
A-05906,TABARÉ,MEX,LUIS LEZAMA,1946,
A-05907,¡A VOLAR JOVEN!,MEX,MIGUEL M. DELGADO,1947,
A-05908,REDENCIÓN,MEX,JUAN PABLO CORTÉS / JOSÉ ANTONIO HERNÁNDEZ,2008,
A-05909,VAHO,MEX,ALEJANDRO GERBER BICECCI,2009,
A-05910,EL CALAMBRE,MEX,MATÍAS MEYER,2009,
A-05911,LA MITAD DEL MUNDO,MEX,JAIME RUIZ IBÁÑEZ,2009,
A-05912,FLORES EN EL DESIERTO,MEX,JOSÉ ÁLVAREZ,2009,
A-05913,RETRATO DE UN CONTORNO,MEX,JAIME MUNGUÍA ,2009,
A-05914,EL SUPERHOMBRE,MEX,CHANO URUETA,1946,
A-05915,BAJO EL MISMO SOL,MEX-ESP,SHULA ERENBERG  ,2009,
A-05916,LA CUERDA FLOJA,MEX,NURIA IBAÑEZ,2009,
A-05917,ABRIR AULAS PARA CERRAR CELDAS,MEX,PALOMA AYÓN ,2009,
A-05918,CON DEVOCIÓN,MEX,ANDREA BORBOLLA,2008,
A-05919,UN DÍA MENOS,MEX,DARIELA LUDLOW DELOYA,2009,
A-05920,TODO UN CABALLERO,MEX,MIGUEL M. DELGADO,1946,
A-05921,YA TENGO A MI HIJO,MEX,ISMAEL RODRÍGUEZ,1946,
A-05922,YO VENDO UNOS OJOS NEGROS,MEX,JOSELITO RODRÍGUEZ,1947,
A-05923,2033,MEX,FRANCISCO LARESGOITI,2009,
A-05924,ELVIRA,MEX,JAVIER SOLÓRZANO CASARÍN,2009,
A-05925,ROCK MARI,MEX,CHAVA CARTAS,2009,
A-05926,TE EXTRAÑO,MEX-ARG,FABIÁN HOFMAN,2010,
A-05927,BOOGIE EL ACEITOSO,MEX-ARG,GUSTAVO COVA,2007,
A-05928,JUEGOS INOCENTES. UN FIN DE SEMANA INOLVIDABLE,MEX,ADOLFO MARTÍNEZ ORZYNSKI,2007,
A-05929,"SEGUIR SIENDO, CAFÉ TACVBA",MEX,ERNESTO CONTRERAS / JOSÉ MANUEL CRAVIOTO,2010,
A-05930,TIN TAN,MEX,FRANCESCO TABOADA TABONE,2009,
A-05931,LA TRANSFORMACIÓN DEL CINE EN MÚSICA,MEX,JULIÁN HERNÁNDEZ / ROBERTO FIESCO,2009,
A-05932,EL SHOW DE POLO POLO,MEX,IVÁN HUERTA / JORGE URDAPILLETA,2010,
A-05933,CÁRCEL DE CARNE,MEX,ROQUE AZCUAGA,2009,
A-05934,"9 MESES, 9 DÍAS",MEX-HOL-EUA,OZCAR RAMÍREZ GONZÁLEZ,2009,
A-05935,LA REVUELTA DE LAS BATAS BLANCAS,MEX-VEN,ALEJANDRO ALBERT,2009,
A-05936,PERDIDA,MEX-ESP,VIVIANA GARCÍA BESNÉ,2010,
A-05937,EL JUEGO PERFECTO,MEX-EUA,WILLIAM DEAR,2009,
A-05938,ÉRASE UNA VEZ EN DURANGO,MEX,JUAN ANTONIO DE LA RIVA,2010,
A-05939,PERPETUUM MOBILE   ,MEX,NICOLÁS PEREDA,2009,
A-05940,CEFALÓPODO,MEX,RUBÉN ÍMAZ,2010,
A-05941,DE LA INFANCIA,MEX,CARLOS CARRERA,2010,
A-05942,RABIA,MEX-ESP-COL,SEBASTIÁN CORDERO,2009,
A-05943,LAS BUENAS HIERBAS ,MEX,MARÍA NOVARO,2010,
A-05944,LA PEQUEÑA SEMILLA EN EL ASFALTO,MEX,PEDRO DANIEL LÓPEZ LÓPEZ,2009,
A-05945,EL MAR MUERTO,MEX,IGNACIO ORTÍZ,2010,
A-05946,A TRAVÉS DEL SILENCIO,MEX,MARCEL SISNIEGA,2010,
A-05947,DEL AMOR Y OTROS DEMONIOS,MEX-COL-CR,HILDA HIDALGO,2009,
A-05948,"TIJUANEADOS ANÓNIMOS: UNA LÁGRIMA, UNA SONRISA",MEX,ANA PAOLA RODRÍGUEZ / JOSÉ LUIS FIGUEROA,2008-2009,
A-05949,DEPOSITARIOS,MEX,RODRIGO ORDÓÑEZ,2009,
A-05950,MARTÍN AL AMANECER,MEX,JUAN CARLOS CARRASCO,2010,
A-05951,MARTHA,MEX,MARCELINO ISLAS HERNÁNDEZ,2010,
A-05952,"NAICA, VIAJE A LA CUEVA DE LOS CRISTALES",MEX,GONZALO INFANTE,2009,
A-05953,"TODO, EN FIN, EL SILENCIO LO OCUPABA",MEX,NICOLÁS PEREDA,2010,
A-05954,VUELVE A LA VIDA,MEX,CARLOS HAGERMAN,2009,
A-05955,EL VARAL,MEX,MARTA FERRER / JAVIER CAMPOS,2009,
A-05956,VOCES DEL SUBTERRÁNEO,MEX,BORIS GOLDENBLANK / BLANCA ÁLVAREZ PULIDO / IVÁN LÓPEZ BARBA / YORDI CAPÓ,2009,
A-05957,CHICOGRANDE,MEX,FELIPE CAZALS,2010,
A-05958,AÑO BISIESTO,MEX ,MICHAEL ROWE,2010,
A-05959,SOMOS LO QUE HAY,MEX,JORGE MICHEL GRAU,2010,
A-05960,EL PRINCIPIO DEL ESPIRAL,MEX,RAFAEL RANGEL,2010,
A-05961,VISA AL PARAÍSO,MEX,LILLIAN LIBERMAN,2010,
A-05962,EN LOS PASOS DE ABRAHAM,MEX,DANIEL GOLDBERG,2010,
A-05963,AGUA DE TABASCO,MEX,ADRIANA CAMACHO TORRES,2010,
A-05964,MAKE UP,MEX,PAVEL CORTÉS ALMANZAR,2010,
A-05965,INTERNO,MEX,ANDREA BORBOLLA,2010,
A-05966,LAS ÁGUILAS HUMANAS,MEX,ARTURO PÉREZ TORRES,2010,
A-05967,FLOR DE MATRIMONIO,MEX,ELISA LIPKAU,2009,
A-05968,EL PAN Y LA LECHE,MEX,XAVIER DE LA VEGA / CARIM AZEDDINE,2007,
A-05969,MEXICALI,MEX-EUA-SUE,JUAN PALACIO / MAX HERRLANDER,2010,
A-05970,FLORES PARA EL SOLDADO,MEX,JAVIER GARZA YÁÑEZ / IVÁN GARCÍA / DANIEL GALO,2008,
A-05971,"HIM, MÁS ALLÁ DE LA LUZ",MEX,FRANK DARIER BAZIERE,2009,
A-05972,BIUTIFUL,MEX-ESP,ALEJANDRO GONZÁLEZ IÑÁRRITU,2010,
A-05973,UNA PARED PARA CECILIA,MEX,HUGO RODRÍGUEZ,2010,
A-05974,MIGRAR O MORIR,MEX,ALEXANDRA HALKIN,2008,
A-05975,"CUERPO, CASA, MADRE TIERRA",MEX,LILLY WOLFENSBERGER SCHERZ,2006,
A-05976,PUEBLOS UNIDOS,MEX,FELIPE CASANOVA / MIGUEL ÁNGEL DÍAZ,2008,
A-05977,LA HIJA DE NADIE,MEX,TITO NOVARO / JOSÉ LUIS URQUIETA,1976,
A-05978,LOS HOMBRES NO DEBEN LLORAR,MEX,ROBERTO RATTI,1976,
A-05979,CRÓNICA ÍNTIMA,MEX,CLAUDIO ISAAC,1976,
A-05980,12 MUJERES EN PUGNA,MEX,DIANA CARDOZO BENIA,2003,
A-05981,LA PANTERA NEGRA,MEX,IYARI WERTTA,2009,
A-05982,FUEGO  ,MEX-EUA-ARG,GUILLERMO ARRIAGA ,2008,
A-05983,EL INFIERNO,MEX,LUIS ESTRADA,2010,
A-05984,"NO ERES TÚ, SOY YO",MEX,ALEJANDRO SPRINGALL,2010,
A-05985,EL ATENTADO,MEX,JORGE FONS,2010,
A-05986,180 GRADOS,MEX,FERNANDO KALIFE,2010,
A-05987,ÍTACA,MEX,ADRIÁN ORTIZ MACIEL,2009,
A-05988,"ARROZ CON LECHE, ME QUIERO CAZAR",MEX,ANA ROSA DUARTE / BYRT WAMMACK,2009,
A-05989,"HIDALGO, LA HISTORIA JAMÁS CONTADA",MEX-ESP,ANTONIO SERRANO,2009,
A-05990,BRIJES 3D,MEX,BENITO FERNÁNDEZ,2010,
A-05991,SERES GÉNESIS,MEX,ÁNGEL MARIO HUERTA,2010,
A-05992,HÉROES VERDADEROS,MEX,CARLOS KURI,2008-2010,
A-05993,ASALTO AL CINE,MEX,IRIA GÓMEZ CONCHEIRO,2010,
A-05994,NADIE ES INOCENTE 20 AÑOS DESPUÉS,MEX,SARAH MINTER,2010,
A-05995,EL VENADO Y LA NIEBLA,MEX,MIGUEL ÁNGEL VENTURA,2009,
A-05996, ACORAZADO,MEX,ÁLVARO CURIEL,2009,
A-05997,LAS MARIMBAS DEL INFIERNO,MEX-GUA-FRA,JULIO HERNÁNDEZ CORDÓN,2010,
A-05998,DESAFÍO,MEX,JULIO BRACHO,2008,
A-05999,SIN ELLA,MEX,JORGE COLÓN,2010,
A-06000,TE PRESENTO A LAURA,MEX,FEZ NORIEGA,2009,
A-06001,EL VERANO DE GOLIAT,MEX,NICOLÁS PEREDA,2010,
A-06002,CARTAS A ELENA ,MEX-EUA,MARTÍN BARAJAS LLOREN´T,2009,
A-06003,LA OTRA FAMILIA,MEX,GUSTAVO LOZA,2009,
A-06004,DE DÍA Y DE NOCHE,MEX,ALEJANDRO MOLINA,2009,
A-06005,BORRAR DE LA MEMORIA,MEX,ALFREDO GURROLA,2009,
A-06006,12 ONZAS,MEX,PATRICIO SERNA SALAZAR,2010,
A-06007,A TIRO DE PIEDRA,MEX,SEBASTIÁN HIRIART,2010,
A-06008,EL SECRETO,MEX,GILBERTO DE ANDA,2010,
A-06009,EL BAILE DE SAN JUAN,MEX-ESP-FRA-ALE,FRANCISCO ATHIÉ,2010,
A-06010,NÓMADAS,MEX-EUA,RICARDO BENET,2009,
A-06011,VETE MÁS LEJOS ALICIA,MEX,ELISA MILLER,2010,
A-06012,JEAN GENTIL,MEX-REP.DOM-ALE,LAURA AMELIA GUZMÁN / ISRAEL CÁRDENAS,2010,
A-06013,TIERRA MADRE,MEX,DYLAN VERRECHIA / AIDEÉ GONZÁLEZ,2010,
A-06014,"UNA FRONTERA, TODAS LAS FRONTERAS",MEX,DAVID PABLOS,2010,
A-06015,MÁS ALLÁ DEL MURO,MEX,LUIS EDUARDO REYES,2010,
A-06016,MARCELINO PAN Y VINO,MEX,JOSÉ LUIS GUTIÉRREZ ,2010,
A-06017,TAMBIÉN LA LLUVIA,MEX-ESP-FRA,ICÍAR BOLLAÍN,2010,
A-06018,BLATTANGELUS,MEX,ARACELI SANTANA,2010,
A-06019,Y EL RÍO SIGUE CORRIENDO,MEX,CARLOS PÉREZ ROJAS ,2010,
A-06020,AMAREN IDEIA,MEX-ESP,MAIDER OLEAGA,2009,
A-06021,EL MAESTRO PRODIGIOSO,MEX,RAFAEL CORKIDI,2009,
A-06022,ZACATECO (LABOR VINCIT OMNIA),MEX,IVÁN ÁVILA DUEÑAS,2010,
A-06023,LABIOS ROJOS,MEX,RAFAEL LARA,2008,
A-06024,SIN MEMORIA,MEX,SEBASTIÁN BORENSZTEIN,2008,
A-06025,VIERNES DE ÁNIMAS: EL CAMINO DE LAS FLORES,MEX,RAÚL PÉREZ GÁMEZ,2008,
A-06026,THIS IS NOT A MOVIE,MEX,OLALLO RUBIO,2010,
A-06027,POST MORTEM,MEX-CHILE-ALE,PABLO LARRAÍN,2010,
A-06028,PERRAS,MEX,GUILLERMO RÍOS ,2010,
A-06029,SALVANDO AL SOLDADO PÉREZ,MEX,BETO GÓMEZ,2010,
A-06030,EL PREMIO,MEX-FRA-POL-ALE,PAULA MARKOVITCH,2010,
A-06031,PARAÍSOS ARTIFICIALES,MEX-HOL-EUA,YULENE OLAIZOLA,2011,
A-06032,LA GUERRERA,MEX,PAULINA DEL PASO,2011,
A-06033,VIAJE A TULUM,MEX,EDUARDO VILLANUEVA,2011,
A-06034,EL CIELO ABIERTO,MEX,EVERARDO GONZÁLEZ,2011,
A-06035,EL FIELD,MEX-EUA,DANIEL ROSAS,2010,
A-06036,MOSCA,MEX,BULMARO OSORNIO,2011,
A-06037,FLOR DE FANGO,MEX,GUILLERMO GONZÁLEZ MONTES,2010,
A-06038,CESADO,MEX-HOL  ,DANIELA SCHNEIDER,2011,
A-06039,GRANICERO,MEX,GUSTAVO GAMOU,2011,
A-06040,LECCIONES PARA ZAFIRAH,MEX,CAROLINA RIVAS / DAOUD SARHANDI,2011,
A-06041,EL LUGAR MÁS PEQUEÑO,MEX,TATIANA HUEZO,2011,
A-06042,LA RUTA DEL CONEJO ROJO,MEX,CARLOS MONTAÑO ARÁMBULA,2010,
A-06043,BURROS,MEX,ODÍN SALAZAR FLORES,2011,
A-06044,AQUÍ ENTRE NOS,MEX,PATRICIA MARTÍNEZ DE VELASCO,2010,
A-06045,PREFIERO MORIR DE PIE,MEX,JACARANDA CORREA,2010,
A-06046,CIRCO,MEX-EUA,AARON SCHOCK,2010,
A-06047,POBRES DIVAS,MEX-EUA,ÁNGEL GRACIA ,2011,
A-06048,AL ACECHO DEL LEOPARDO,MEX,ENRIQUE RENTERÍA,2011,
A-06049,AGNUS DEI: CORDERO DE DIOS,MEX,ALEJANDRA SÁNCHEZ  ,2010,
A-06050,0.56%,MEX,LORENZO HAGERMAN ,2010,
A-06051,LA HISTORIA EN LA MIRADA,MEX,JOSÉ RAMÓN MIKELAJÁUREGUI,2010,
A-06052,EL EFECTO TEQUILA,MEX,LEÓN SERMENT,2011,
A-06053,LOS INADAPTADOS,MEX,JORGE RAMÍREZ-SUÁREZ / JAVIER COLINAS / MARCO POLO CONSTANDSE / SERGIO TOVAR VELARDE,2011,
A-06054,CH'ULEL,MEX,JORGE CREUHERAS OROZCO,2011,
A-06055,CIUDAD RURAL,MEX,ROBERTO CANALES SÁNCHEZ-LEÓN,2011,
A-06056,VERDADERAMENTE DURAZO,MEX,MAURICIO KATZ,2010,
A-06057,ABOLICIÓN DE LA PROPIEDAD,MEX,JESÚS MAGAÑA VÁZQUEZ,2009,
A-06058,MISS BALA,MEX,GERARDO NARANJO,2011,
A-06059,"AQUÍ SOBRE LA TIERRA, NIKA IPAN NI TLAJTIJPANTLI",MEX,MAURICIO BIDAULT FERNÁNDEZ LEDESMA,2011,
A-06060,ENTRE LA NOCHE Y EL DÍA,MEX,BERNARDO ARELLANO,2011,
A-06061,DOSIS PERSONAL,MEX,MARIO MANDUJANO,2011,
A-06062,REACCIONES ADVERSAS,MEX,DAVID MICHAN,2011,
A-06063,AÑOS DESPUÉS,MEX-ESP,LAURA GÁRDOS VELO,2011,
A-06064,LLUVIA DE LUNA,MEX,MARYSE SISTACH,2011,
A-06065,TRAVESÍA DEL DESIERTO,MEX,MAURICIO WALERSTEIN,2010,
A-06066,"ALEJANDRO COLUNGA, FOGONERO DEL DELIRIO ",MEX,GUSTAVO DOMÍNGUEZ,2011,
A-06067,EL SECRETO DE CÁNDITA,MEX,KENYA MÁRQUEZ,2011,
A-06068,LA CARTA (SAGRARIO NUNCA HAS MUERTO,MEX,RAFAEL BONILLA,2010,
A-06069,LOS OTROS CALIFORNIOS,MEX,CÉSAR TALAMANTES,2010,
A-06070,LOS INFECTADOS,MEX,ALEJANDRO G. ALEGRE,2011,
A-06071,ASÍ ES LA SUERTE,MEX,JUAN CARLOS DE LLACA,2011,
A-06072,EL VELADOR,MEX-EUA- FRA,NATALIA ALMADA,2011,
