N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-00225,LOS DÍAS DEL AMOR,MEX,ALBERTO ISAAC,1971,
A-00226,EL HERMANO CAPULINA,MEX,ALFREDO ZACARÍAS,1969,
A-00227,EL JINETE ENMASCARADO,MEX,MANUEL MUÑOZ,1962,
A-00228,LAS ADORABLES MUJERCITAS,MEX,JOSÉ DÍAZ MORALES,1973,
A-00229,CUANDO VUELVAS A MÍ,MEX-GUA,JOSÉ BAVIERA,1953,
A-00230,EL APENITAS,MEX,ARTURO MARTÍNEZ,1978,
A-00231,SANTO EN EL HOTEL DE LA MUERTE,MEX,FEDERICO CURIEL,1961,
A-00232,AMOR DEL BUENO,MEX,RAMÓN PEÓN,1954,
A-00233,EL GRITO DE LA MUERTE,MEX,FERNANDO MÉNDEZ,1958,
A-00234,EL HECHIZO DEL PANTANO,MEX-BELICE,FERNANDO ALMADA,1975,
A-00235,EL HALCÓN SOLITARIO,MEX,ZACARÍAS GÓMEZ URQUIZA,1963,
A-00236,ÉCHENME AL VAMPIRO,MEX,ALFREDO B. CREVENNA,1961,
A-00237,MUNDO MÁGICO (EL DIOSERO) / MUNDO MÁGICO (LA VENGANZA DE CARLOS MANGO) / MUNDO MÁGICO (LA TRISTE HISTORIA DE PASCOLA ZENOBIO,MEX ,RAÚL ZERMEÑO / LUIS MANDOKI / ALEJANDRO TAVERA,1980,
A-00238,"DIOS, EL NIÑO Y EL MAR",MEX-ESP,ANGELINO FONS,1982,
A-00239,EL PADRE TRAMPITAS,MEX,PEDRO GALINDO III,1982,
A-00240,NIÑO FIDENCIO,MEX,NICOLÁS ECHEVARRÍA,1981,
A-00241,CARITA DE PRIMAVERA,MEX,FEDERICO CURIEL,1982,
A-00242,PIERNAS CRUZADAS,MEX-ESP,RAFAEL VILLASEÑOR KURI,1982,
A-00243,"ABORTO, CANTO A LA VIDA",MEX,JOSÉ LUIS URQUIETA,1981,
A-00244,"MINA, VIENTO DE LIBERTAD",MEX-CUBA,ANTONIO ECEIZA,1976,
A-00245,LOS PEQUEÑOS PRIVILEGIOS,MEX,JULIÁN PASTOR,1977,
A-00246,EL INFIERNO DE TODOS TAN TEMIDO,MEX,SERGIO OLHOVICH,1979,
A-00247 ,PARTIDA GANADA,MEX,ENRIQUE CASTILLA,1920,
