titleId,title,averageRating,numVotes
tt0026071,Ana Karenina,7.0,5546.0
tt0026073,Blanco seguro,6.6,1826.0
tt0026092,Un pobre diablo,5.8,264.0
tt0026104,Becky Sharp,5.9,1174.0
tt0026117,Biografía de una soltera,6.1,396.0
tt0026126,Dos fusileros sin bala,6.7,2008.0
tt0026129,Corazón mexicano,6.6,1838.0
tt0026134,Corazones en ruinas,5.8,597.0
tt0026138,La novia de Frankenstein,7.8,50062.0
tt0026146,Y venció la carne,5.6,89.0
tt0026164,La ley de la sangre,6.8,2304.0
tt0026164,Un grito en la selva,6.8,2304.0
tt0026174,Capitán Sangre,7.7,14882.0
tt0026191,Águilas heroicas,6.7,739.0
tt0026192,Celos,6.3,27.0
tt0026205,Mares de China,6.9,2675.0
tt0026221,Clive el conquistador de la India,6.2,424.0
tt0026246,Crimen y castigo,6.9,2072.0
tt0026261,Solo falta morir,6.8,3471.0
tt0026262,El infierno de Dante,6.6,867.0
tt0026275,Los diablos del aire,5.9,389.0
tt0026276,Carnaval en España,6.9,3717.0
tt0026286,San Juan Bosco,5.4,23.0
tt0026313,Flor de mayo,5.7,264.0
tt0026315,Mi marido se casa,5.5,224.0
tt0026334,La familia Dressel,6.8,11.0
tt0026352,La legión de los chacales,6.3,74.0
tt0026385,La ciudad siniestra,6.2,651.0
tt0026406,El fantasma se embarca,6.8,1935.0
tt0026413,No cedo a mi marido,6.7,1390.0
tt0026419,Soy una dama,6.5,666.0
tt0026426,La favorita,6.5,463.0
tt0026431,El gran final,6.2,243.0
tt0026452,A través de la mesa,7.0,2008.0
tt0026481,Las Alcaparras de Hollywood,5.7,473.0
tt0026484,La ley del Oeste,6.3,48.0
tt0026508,Los amores trágicos de Stella Parish,6.7,523.0
tt0026510,El Recital,6.2,587.0
tt0026512,Vivo para amar,4.7,152.0
tt0026523,Por unos ojos negros,5.9,356.0
tt0026525,No hay escape,6.2,501.0
tt0026529,Delator,7.4,6714.0
tt0026533,Un joven tímido,4.7,124.0
tt0026541,Exterminio,6.6,51.0
tt0026543,Janitzio,7.3,65.0
tt0026570,El rey de Broadway,5.6,16.0
tt0026592,Princesita,6.1,47.0
tt0026607,La última avanzada,6.0,556.0
tt0026643,Tres lanceros de Bengala,7.0,3076.0
tt0026661,El manos sangrientas,7.3,53.0
tt0026661,Luponini de Chicago,7.3,53.0
tt0026661,Luponini,7.3,53.0
tt0026663,Las manos de Orlac,7.2,5538.0
tt0026671,Desbanqué Montecarlo,6.4,255.0
